feature,coef,abs_coef
wd81,-1.5159484415292495,1.5159484415292495
agg308,-0.8181461383882115,0.8181461383882115
g051s,-0.7095894684283108,0.7095894684283108
duemag01,0.5015877792175629,0.5015877792175629
aepmag01,0.2421875401923112,0.2421875401923112
at103s,0.22891576426611715,0.22891576426611715
wd03,-0.22628864532368126,0.22628864532368126
tranbal09,0.14904310185370678,0.14904310185370678
bi21s,-0.09528176366607265,0.09528176366607265
utlmag04,0.0766600431367604,0.0766600431367604
sa21s,0.07165510438938064,0.07165510438938064
at104s,-0.05777217620997027,0.05777217620997027
at34af,0.050482999694081376,0.050482999694081376
lmd34s,0.04929700193419792,0.04929700193419792
tel32s,-0.032347315428877914,0.032347315428877914
agg2503,-0.032218339353795485,0.032218339353795485
agg9316,0.026774035861261387,0.026774035861261387
tel03s,0.025290239453107592,0.025290239453107592
ri27s,0.024501911131536436,0.024501911131536436
rle904,-0.020121674673629738,0.020121674673629738
