feature,gain
wd81,19.93391990661621
g051s,11.246788024902344
wd03,10.037591934204102
aepmag01,9.301926612854004
utlmag04,7.641477584838867
agg308,4.021424770355225
at104s,2.942782402038574
bi21s,2.8830759525299072
rle904,2.644155502319336
ri27s,2.4864819049835205
