feature,coef,abs_coef
wd81,-1.4521189136171833,1.4521189136171833
agg308,-1.0572553660387998,1.0572553660387998
CANAL_07,1.0344671071356262,1.0344671071356262
g051s,-0.726588676468208,0.726588676468208
credits_contact_studies_primary,0.4694526950570687,0.4694526950570687
utlmag04,0.34621340423661146,0.34621340423661146
aepmag01,0.2894278846057075,0.2894278846057075
CANAL_09,-0.2766547961637277,0.2766547961637277
CANAL_12,-0.2520899881113348,0.2520899881113348
credits_contact_studies_nan,-0.22206489433377918,0.22206489433377918
CANAL_10,0.18658939049618242,0.18658939049618242
category_comercializacion,0.16003376932736368,0.16003376932736368
wd03,-0.15740441623704632,0.15740441623704632
credits_credit_goal_nan,-0.1338102249829054,0.1338102249829054
credits_contact_studies_professional,0.1278958193900843,0.1278958193900843
category_bar_y_licores,-0.11375816919222295,0.11375816919222295
category_electronica_y_tecnologia,0.11225265634674086,0.11225265634674086
bi21s,-0.09453568659452267,0.09453568659452267
category_artesanias_y_arte,0.09048926005752526,0.09048926005752526
category_transporte_y_logistica,0.0875014619396467,0.0875014619396467
category_confeccion,0.08520239374664546,0.08520239374664546
credits_credit_goal_machinery_and_equipment,0.08448694285169873,0.08448694285169873
credits_credit_goal_marketing_and_advertising,-0.07931198614960294,0.07931198614960294
credits_credit_goal_supplies,0.0698101993191131,0.0698101993191131
category_servicios,0.050169385253288956,0.050169385253288956
CANAL_03,-0.049565124656126086,0.049565124656126086
credits_contact_studies_technical,0.048119235983413715,0.048119235983413715
credits_contact_studies_high_school,0.043606936298319396,0.043606936298319396
category_restaurantes_y_comidas,-0.04068519664581179,0.04068519664581179
CANAL_02,-0.03866727278296191,0.03866727278296191
category_drogueria_y_medicina,-0.038503727492298884,0.038503727492298884
category_belleza_e_higiene,-0.03676595232270046,0.03676595232270046
CANAL_05,0.033930695246482775,0.033930695246482775
category_servicios_y_alquiler,0.024751447378370747,0.024751447378370747
category_miscelanea_y_papeleria,0.02337064578301813,0.02337064578301813
credits_contact_studies_postgraduate_studies,-0.022907661067604453,0.022907661067604453
CANAL_04,-0.020474962387306447,0.020474962387306447
credits_credit_goal_payment_suppliers,0.01926525451610864,0.01926525451610864
category_agricultura_y_granja,0.018565261425754584,0.018565261425754584
at104s,-0.01401658475767171,0.01401658475767171
category_mercado_y_perecederos,0.011838141029860859,0.011838141029860859
rle904,-0.010018347541151605,0.010018347541151605
credits_credit_goal_stocking,-0.00810562033449871,0.00810562033449871
ri27s,0.00695355865714877,0.00695355865714877
category_carniceria_y_avicola,0.003877892919561068,0.003877892919561068
credits_credit_goal_labor_payment,-0.0015112531039728322,0.0015112531039728322
CANAL_08,0.0,0.0
credits_contact_studies_college,0.0,0.0
credits_contact_studies_None,0.0,0.0
CANAL_06,0.0,0.0
CANAL_11,0.0,0.0
CANAL_01,0.0,0.0
