feature,coef,abs_coef
CANAL_07,1.117016648372048,1.117016648372048
free_cash_flow,-0.42957053883626134,0.42957053883626134
credits_contact_studies_nan,-0.38381263085148853,0.38381263085148853
credits_credit_goal_nan,-0.36347349793806105,0.36347349793806105
ALIANZA_04,0.3500887630769526,0.3500887630769526
credits_contact_studies_primary,0.34400058147770624,0.34400058147770624
CANAL_02,-0.33546809762491153,0.33546809762491153
shops_monthly_incomes,0.3268537017664296,0.3268537017664296
CANAL_12,-0.31994020909790427,0.31994020909790427
appusers_age,0.28547565455932367,0.28547565455932367
antiguedad_cliente,0.2836847723468619,0.2836847723468619
ALIANZA_02,-0.23167764430240861,0.23167764430240861
CANAL_09,-0.23167764430240861,0.23167764430240861
credits_contact_studies_professional,0.2228784288616867,0.2228784288616867
credits_contact_studies_technical,0.18988725465749684,0.18988725465749684
ALIANZA_05,0.18480789607413414,0.18480789607413414
category_comercializacion,0.15799188061323635,0.15799188061323635
CANAL_04,-0.1457190206948544,0.1457190206948544
credits_credit_goal_machinery_and_equipment,0.1428073419735492,0.1428073419735492
category_electronica_y_tecnologia,0.12318608536221459,0.12318608536221459
CANAL_10,0.12232031761378104,0.12232031761378104
category_transporte_y_logistica,0.11998861738148878,0.11998861738148878
category_confeccion,0.11486852115939178,0.11486852115939178
credits_credit_goal_supplies,0.11404001767813406,0.11404001767813406
category_servicios,0.10994807601817738,0.10994807601817738
category_artesanias_y_arte,0.10739092066802779,0.10739092066802779
category_bar_y_licores,-0.09817888135841954,0.09817888135841954
credits_contact_studies_high_school,0.09675129106011734,0.09675129106011734
shops_initial_capital,0.08886487686381216,0.08886487686381216
appusers_gender_other,-0.0812189718359045,0.0812189718359045
credits_credit_goal_stocking,0.07788932154315653,0.07788932154315653
credits_dependants_amount,0.07355216582357842,0.07355216582357842
estimated_income,-0.07239933620672963,0.07239933620672963
shops_rent_amount,-0.06880347073255351,0.06880347073255351
CANAL_03,0.06820614024659875,0.06820614024659875
category_mercado_y_perecederos,0.0676166153197434,0.0676166153197434
credits_credit_goal_marketing_and_advertising,-0.06639436245597749,0.06639436245597749
category_drogueria_y_medicina,-0.06116487486630719,0.06116487486630719
credits_contact_studies_postgraduate_studies,0.060831640739939116,0.060831640739939116
category_servicios_y_alquiler,0.057859067021180675,0.057859067021180675
appusers_gender_female,0.05655257196976361,0.05655257196976361
shops_shop_age,-0.05540243583799074,0.05540243583799074
ALIANZA_01,-0.054876362577980765,0.054876362577980765
CANAL_05,-0.054876362577980765,0.054876362577980765
credits_credit_goal_labor_payment,0.05229766900958366,0.05229766900958366
appusers_gender_male,-0.05133193570886535,0.05133193570886535
credits_credit_goal_payment_suppliers,0.04143745815190721,0.04143745815190721
category_restaurantes_y_comidas,-0.03911669515845238,0.03911669515845238
appusers_gender_None,-0.031070971801047034,0.031070971801047034
category_agricultura_y_granja,0.030265123531246167,0.030265123531246167
ALIANZA_03,0.028562465477278073,0.028562465477278073
category_miscelanea_y_papeleria,0.027102243311911696,0.027102243311911696
cost_ingress_ratio,-0.018943694469079734,0.018943694469079734
credits_family_expenses,-0.018530857905325947,0.018530857905325947
shops_monthly_outcomes,-0.015446296583276172,0.015446296583276172
appusers_score,0.01372708869118165,0.01372708869118165
category_belleza_e_higiene,0.0120187478796766,0.0120187478796766
shops_daily_incomes,-0.010400069834693729,0.010400069834693729
category_carniceria_y_avicola,-0.0035374569279991853,0.0035374569279991853
CANAL_08,0.0,0.0
CANAL_11,0.0,0.0
ALIANZA_06,0.0,0.0
CANAL_06,0.0,0.0
CANAL_01,0.0,0.0
credits_contact_studies_college,0.0,0.0
credits_contact_studies_None,0.0,0.0
