feature,coef,abs_coef
CANAL_07,1.143315889409715,1.143315889409715
free_cash_flow,-0.4787032194413328,0.4787032194413328
CANAL_09,-0.46799568933903435,0.46799568933903435
credits_contact_studies_nan,-0.4186440306336116,0.4186440306336116
shops_monthly_incomes,0.3806099973839321,0.3806099973839321
credits_contact_studies_primary,0.34838593925710487,0.34838593925710487
credits_credit_goal_nan,-0.33874270414251806,0.33874270414251806
appusers_age,0.27023693316221636,0.27023693316221636
CANAL_12,-0.2674366800071569,0.2674366800071569
antiguedad_cliente,0.2565671642001355,0.2565671642001355
credits_contact_studies_professional,0.24629095377083604,0.24629095377083604
CANAL_03,0.2386146333292552,0.2386146333292552
CANAL_10,0.220133692094131,0.220133692094131
credits_contact_studies_technical,0.20379162636719128,0.20379162636719128
category_comercializacion,0.15845086871621358,0.15845086871621358
credits_credit_goal_machinery_and_equipment,0.13446611604905453,0.13446611604905453
category_confeccion,0.12481202317154076,0.12481202317154076
category_transporte_y_logistica,0.12134710054441475,0.12134710054441475
credits_contact_studies_high_school,0.11430534498858633,0.11430534498858633
category_artesanias_y_arte,0.10940804183860067,0.10940804183860067
category_electronica_y_tecnologia,0.1082664433622765,0.1082664433622765
credits_credit_goal_supplies,0.10554395005052378,0.10554395005052378
CANAL_05,-0.09797135811594775,0.09797135811594775
category_servicios,0.09758277069060066,0.09758277069060066
shops_monthly_outcomes,-0.09486433855957503,0.09486433855957503
category_bar_y_licores,-0.09481865769287397,0.09481865769287397
CANAL_04,-0.08658924557465718,0.08658924557465718
estimated_income,-0.08240413360505605,0.08240413360505605
category_mercado_y_perecederos,0.07684775781592883,0.07684775781592883
credits_credit_goal_stocking,0.0744763258114446,0.0744763258114446
credits_contact_studies_postgraduate_studies,0.07185195294509251,0.07185195294509251
credits_credit_goal_marketing_and_advertising,-0.07001424676071358,0.07001424676071358
category_drogueria_y_medicina,-0.055649085153167965,0.055649085153167965
category_servicios_y_alquiler,0.05448284880073241,0.05448284880073241
credits_credit_goal_labor_payment,0.04825427576539512,0.04825427576539512
credits_credit_goal_payment_suppliers,0.03684229154408291,0.03684229154408291
CANAL_02,-0.03505569414941189,0.03505569414941189
category_belleza_e_higiene,0.03345651051378917,0.03345651051378917
category_miscelanea_y_papeleria,0.032804655191946516,0.032804655191946516
category_agricultura_y_granja,0.02890808108669824,0.02890808108669824
category_restaurantes_y_comidas,-0.02784524897512278,0.02784524897512278
appusers_score,0.009878096937179587,0.009878096937179587
category_carniceria_y_avicola,-0.003910723369809361,0.003910723369809361
cost_ingress_ratio,0.003309150787850335,0.003309150787850335
credits_contact_studies_None,0.0,0.0
credits_contact_studies_college,0.0,0.0
CANAL_08,0.0,0.0
CANAL_11,0.0,0.0
CANAL_01,0.0,0.0
CANAL_06,0.0,0.0
