brazo,modelo,n_features,AUC_total,Gini_total,KS_total,Brier_total,PR_AUC_total,n_total,AUC_esparso,Gini_esparso,KS_esparso,Brier_esparso,PR_AUC_esparso,n_esparso,AUC_denso,Gini_denso,KS_denso,Brier_denso,PR_AUC_denso,n_denso
all_full,logreg,89,0.6604611666340061,0.3209223332680122,0.262933568489124,0.4654422829690456,0.5884612273484744,495,0.7004556962025317,0.40091139240506335,0.35827848101265825,0.5405047017537294,0.5510891012529124,204,0.5997215287113501,0.1994430574227002,0.17903783368542348,0.41282120588287546,0.6122272655569516,291
all_full,xgboost,89,0.7516166960611403,0.5032333921222807,0.417989417989418,0.46847588661093154,0.7574065831174931,495,0.7371139240506329,0.47422784810126584,0.3869367088607595,0.5537603297786073,0.7184619117879021,204,0.730458997503361,0.4609179950067219,0.413961974265412,0.4086888542872001,0.7808547144338759,291
all_sin_tu,logreg,66,0.5237442027565484,0.047488405513096854,0.11772486772486768,0.47504209298838107,0.4921007551390886,495,0.5640506329113923,0.1281012658227847,0.1746835443037974,0.5598701282448385,0.43966696943584116,204,0.487036681390436,-0.025926637219128024,0.09016708277318997,0.4155750167261222,0.5391498616845617,291
all_sin_tu,xgboost,66,0.5292311712064798,0.058462342412959556,0.07745443856554968,0.3342997406032276,0.5065052627777501,495,0.5779240506329114,0.15584810126582282,0.14410126582278482,0.3918563555440557,0.44576110563255145,204,0.4807470712502401,-0.03850585749951985,0.04469944305742268,0.29395077342821396,0.5487294566336635,291
all_tu,logreg,20,0.7289992814684172,0.4579985629368344,0.366549088771311,0.2708496010708775,0.7054246536023316,495,0.7378227848101265,0.47564556962025306,0.420253164556962,0.26478001373841115,0.7082650556244949,204,0.6795179565968889,0.3590359131937777,0.3024294219320146,0.2751045695101323,0.7147830994991345,291
all_tu,xgboost,20,0.7577568750408257,0.5155137500816513,0.41754850088183415,0.28142089640947743,0.7634481006528773,495,0.723240506329114,0.4464810126582279,0.3876455696202531,0.2995107971555596,0.6934502066470379,204,0.7483675821010178,0.4967351642020357,0.37555214134818515,0.2687393165050074,0.7942197123772406,291
llm_full,logreg,60,0.6859200470311582,0.37184009406231633,0.2899764844209288,0.46880671378118693,0.6222033713897641,495,0.7002531645569621,0.40050632911392414,0.32556962025316455,0.5416836844584066,0.5505418352980763,204,0.6406280007681967,0.2812560015363934,0.25110428269637025,0.4177177034095277,0.6640353002945166,291
llm_full,xgboost,60,0.7466033052452806,0.49320661049056125,0.4029982363315696,0.4559670665956361,0.7635378615822594,495,0.6884050632911393,0.3768101265822785,0.32769620253164555,0.5443634913409546,0.6635551734579492,204,0.7550893028615325,0.5101786057230651,0.4070962166314576,0.39399843893912406,0.8008663690754345,291
llm_sin_tu,logreg,50,0.5385557515187145,0.07711150303742897,0.1359494415049971,0.4784859296701598,0.5024274515596526,495,0.5561518987341771,0.11230379746835428,0.1627341772151899,0.5645756278538091,0.427632551676714,204,0.5178605723065105,0.035721144613021005,0.11556558478970613,0.41813438867543656,0.5567438397054411,291
llm_sin_tu,xgboost,50,0.6137811091514797,0.2275622183029593,0.18959435626102283,0.4482533122251278,0.5684351327605038,495,0.6004050632911392,0.20081012658227837,0.21002531645569622,0.5382877788261157,0.47182634033007337,204,0.6188304205876705,0.23766084117534092,0.21197426541194547,0.38513636656670325,0.6391030649173,291
llm_tu,logreg,10,0.7367398262459991,0.4734796524919982,0.3569958847736625,0.25895800952898573,0.7428114200489953,495,0.7316455696202533,0.4632911392405066,0.4222784810126582,0.2444566123544363,0.6946807397648782,204,0.6990589590935279,0.3981179181870558,0.30823890916074514,0.2691239374451647,0.7630110526888235,291
llm_tu,xgboost,10,0.7531190802795741,0.5062381605591482,0.41975308641975306,0.2649433877716004,0.748558238222896,495,0.7092658227848101,0.4185316455696202,0.41093670886075945,0.2799070849328965,0.6788907571322176,204,0.7461110044171309,0.4922220088342617,0.3949010946802381,0.2544533732667743,0.7769749174303056,291
llm_tu_sem,logreg,52,0.7175027761447514,0.4350055522895029,0.3459729570840682,0.4757554247805903,0.6538985249142567,495,0.7259746835443038,0.45194936708860767,0.42420253164556965,0.5530609975185464,0.5766901004343903,204,0.6763491453812176,0.3526982907624352,0.2818321490301517,0.42156182739728093,0.6994828203782886,291
llm_tu_sem,xgboost,52,0.7628845776993924,0.5257691553987849,0.4124044679600235,0.43599895505846925,0.7609379252511572,495,0.7088607594936709,0.4177215189873418,0.3323544303797468,0.5087179084129421,0.6680714199836925,204,0.767908584597657,0.535817169195314,0.41828308046859997,0.3850207197171893,0.7914733251085333,291
