feature,coef,abs_coef
wd81,-1.445694029483277,1.445694029483277
CANAL_07,1.1374431377831022,1.1374431377831022
agg308,-1.0211181097406659,1.0211181097406659
g051s,-0.7036398210539867,0.7036398210539867
antiguedad_cliente,0.45283042505032395,0.45283042505032395
credits_contact_studies_primary,0.42037749545672093,0.42037749545672093
CANAL_09,-0.39762790285892613,0.39762790285892613
utlmag04,0.3508200895095991,0.3508200895095991
aepmag01,0.30290555423323473,0.30290555423323473
credits_contact_studies_nan,-0.2995388668331729,0.2995388668331729
credits_credit_goal_nan,-0.2554510516625829,0.2554510516625829
appusers_age,0.2292304307170041,0.2292304307170041
free_cash_flow,-0.21926352913700461,0.21926352913700461
CANAL_12,-0.21166626312065065,0.21166626312065065
CANAL_10,0.1900771067564686,0.1900771067564686
category_comercializacion,0.18605251268506726,0.18605251268506726
credits_contact_studies_professional,0.18228616957223018,0.18228616957223018
wd03,-0.17200349614238084,0.17200349614238084
bi21s,-0.14294071650837387,0.14294071650837387
category_electronica_y_tecnologia,0.12206833280246307,0.12206833280246307
credits_credit_goal_supplies,0.11730628772243983,0.11730628772243983
category_artesanias_y_arte,0.10801520537474107,0.10801520537474107
credits_credit_goal_machinery_and_equipment,0.1062017893020905,0.1062017893020905
category_bar_y_licores,-0.10466232606675203,0.10466232606675203
category_confeccion,0.10333367203302017,0.10333367203302017
credits_contact_studies_technical,0.09990968456416946,0.09990968456416946
CANAL_03,0.08607949548416902,0.08607949548416902
category_transporte_y_logistica,0.08310770456864144,0.08310770456864144
credits_contact_studies_high_school,0.0817071164415647,0.0817071164415647
credits_credit_goal_marketing_and_advertising,-0.07801919873015078,0.07801919873015078
category_servicios,0.0761670099246779,0.0761670099246779
estimated_income,-0.07441460895216617,0.07441460895216617
CANAL_02,-0.07249135636894383,0.07249135636894383
CANAL_05,-0.06563074418862302,0.06563074418862302
category_miscelanea_y_papeleria,0.04577792245704643,0.04577792245704643
category_drogueria_y_medicina,-0.044625134093556514,0.044625134093556514
category_agricultura_y_granja,0.037294030419508864,0.037294030419508864
credits_credit_goal_stocking,0.027189917770700994,0.027189917770700994
category_mercado_y_perecederos,0.026379962489955753,0.026379962489955753
CANAL_04,-0.025536743498128477,0.025536743498128477
category_servicios_y_alquiler,0.0251929885348773,0.0251929885348773
category_restaurantes_y_comidas,-0.02388233001528535,0.02388233001528535
credits_credit_goal_payment_suppliers,0.02254820376963992,0.02254820376963992
appusers_score,0.017525866167701524,0.017525866167701524
category_carniceria_y_avicola,0.01521791766227004,0.01521791766227004
credits_credit_goal_labor_payment,0.011323752206036757,0.011323752206036757
at104s,-0.010907011820953189,0.010907011820953189
shops_monthly_outcomes,-0.008147138500741146,0.008147138500741146
ri27s,0.007401674125374053,0.007401674125374053
credits_contact_studies_postgraduate_studies,-0.00476822331813559,0.00476822331813559
rle904,-0.003720846951993352,0.003720846951993352
cost_ingress_ratio,0.002393550646156441,0.002393550646156441
category_belleza_e_higiene,-0.00036219926641148197,0.00036219926641148197
shops_monthly_incomes,0.00015135155072404762,0.00015135155072404762
credits_contact_studies_None,0.0,0.0
credits_contact_studies_college,0.0,0.0
CANAL_11,0.0,0.0
CANAL_01,0.0,0.0
CANAL_06,0.0,0.0
CANAL_08,0.0,0.0
