model,segment,cv_barajado_auc,cv_barajado_std,cv_temporal_auc,cv_temporal_std,delta_auc
XGBoost,esparso,0.873,0.02,0.7043590885482495,0.08684373509794825,-0.16864091145175053
XGBoost,denso,0.945,0.009,0.7394602386545421,0.1326620042285724,-0.20553976134545782
LogReg,esparso,0.808,0.028,0.7111719678485882,0.08718531951349498,-0.09682803215141189
LogReg,denso,0.835,0.013,0.6825566964105392,0.058214101150098355,-0.1524433035894608
