config,n_shots,eval_type,segment,AUC,Gini,KS,Brier,n
16-shot,16,general,total,0.5080587550192645,0.016117510038528904,0.020472843493746673,0.4622477026751072,4897
16-shot,16,general,esparso,0.5033678900484998,0.0067357800969995996,0.011623285482010637,0.5257857829282081,3538
16-shot,16,general,denso,0.4873850916884973,-0.025229816623005386,0.003079304596332433,0.29683362766740246,1359
