campo_reconstruido,prefijo,n_valores,valor_top,n_top,concentracion_top,origen
rubro,category_,16,sin_marca,988,0.235182099500119,categoria_de_formulario
educacion,credits_contact_studies_,6,sin_dato,3235,0.7700547488693168,categoria_de_formulario
objetivo_credito,credits_credit_goal_,7,stocking,1599,0.38062366103308737,categoria_de_formulario
canal,CANAL_,8,09,1237,0.29445370149964295,codigo_interno
alianza,ALIANZA_,6,05,1452,0.345631992382766,codigo_interno
genero,appusers_gender_,4,female,2165,0.5153534872649369,categoria_de_formulario
