n_temas,estabilidad_media,estabilidad_minima,error_reconstruccion,diversidad_top10,n_minimo_tema_dominante,seleccionado
4,0.7897886231537996,0.678698747922216,49.54171648845715,0.9,264,False
5,0.7394069578849809,0.7012860096305842,49.287852586366036,0.92,121,False
6,0.7173273105896538,0.631115741121748,49.03397354569004,0.9333333333333333,114,False
7,0.919056942238461,0.8381147391449956,48.8002521271684,0.9,107,True
8,0.7907309610960211,0.7218664634364075,48.60849443247125,0.9125,82,False
9,0.8789132061390817,0.7578265934842447,48.3947746123362,0.9,82,False
10,0.8207272126574692,0.7669485128704481,48.21809993307835,0.89,76,False
11,0.7557257414948759,0.7216702365776088,48.04886681335304,0.8727272727272727,75,False
12,0.8078362464171648,0.7155653065260345,47.85772209563777,0.8666666666666667,53,False
