campo,valor,n
descripcion_negocio,Mi negocio tiene un año y medio quiero seguir creciendo,1
descripcion_negocio,"Inicie mi negocio con venta de productos para cuidado de manos y pies, cuidado de capilar",1
descripcion_negocio,"Negocio familiar de venta de productos farmacéuticos, toma de presión, niveles de glucosa, sueros vitaminados, cosmetología, productos de aseo personal y servicio a domicilio entre otros",1
descripcion_negocio,Inicie en mi negocio como empleado luego compre una sociedad y actualmente soy el dueño,1
descripcion_negocio,Nos destacamos desde el 2020 por una exelente prestacion de servicio automor y electrico en mecánica de motos,1
descripcion_negocio,"es un negocio donde hay artículos de papelería, bebidas y productos de catálogos",1
descripcion_negocio,Hacemos reparación capilar hacemos uñas,1
descripcion_negocio,"Inicie mi negocio en el 2021 ya que en el colegio nos pedía un emprendimiento.
Empecé vendiendo ropa ya que se que es un negocio rentable, al igual inicie con un capital de 400, los cuales pude doblar al mes, en ocasiones vendo también zapatos .",1
descripcion_negocio,"Inicie mi emprendimiento en nov del 2020 en plena pandemia 😷, realizando jabones para todo tipo de piel de la cara y cuerpo mas oleatos artesanales.",1
descripcion_negocio,Restaurantes de comida china en kennedy Bogotá,1
descripcion_negocio,Inicié mi negocio desde el 2001 vendiendo todo lo de tienda y abarrotes,1
descripcion_negocio,Venta de audífonos inalámbricos JBL por internet,1
descripcion_negocio,Inicie mi negocio en el año 2023 en enero vendo producto de belleza y higiene personal,1
descripcion_negocio,Tengo mi negocio de spa hace 2 años y con ansias de seguir ampliándome un spa con servicios de terapias alternativas,1
descripcion_negocio,"Inicie mi negocio en en 2018, con mi venta de catálogo, y desde entonces a sido muy gratificante",1
descripcion_negocio,"Asesorías técnicas en cultivos, independiente, venta de insumos y productor.",1
descripcion_negocio,Sala de belleza con experiencia en decoloración de cabello tintes con las tendencias de moda experta colorista manicure y pedicure con las últimas técnicas de moda,1
descripcion_negocio,Inicie mi negocio vendiendo minutos y recargas. Luego adquirí un computador para vender Internet con el pasar de los meses adquirí una impresora y hace dos años compré una fotocopiadora. Hace unos meses estoy surtiendo poco a poco las vitrinas.,1
descripcion_negocio,Instalación de una plataforma a cualquier tipo de negocio para venta de recargas electrónicas y pagos de facturas.,1
descripcion_negocio,Es una vebt de fritos en las horas de la mañana en una estación de buses tengo una mesa,1
descripcion_negocio,contamos  con una peluquería de más de un año en la cuidad de Manizales además vendemos productos por instagram desde hace 6 años,1
descripcion_negocio,Venta de huevos,1
descripcion_negocio,Mi negocio está basado en la fabricación y venta de alimentos tipo desayuno típico de la región cómo son chicharrón con yuca y arroz mixto y jugos naturales,1
descripcion_negocio,Inicie mi negocio en 2017 comprando mercancía al mayor y vendiendo al detal ropa y accesorios,1
descripcion_negocio,Inicie mi satélite con 2 máquinas en este momento cuento con 4 trabajo para el madrugón,1
descripcion_negocio,"comercio de fruta mango, manzana pera guanabana",1
descripcion_negocio,"Inicie mi emprendimiento en 2021, por una cirugía que tú e donde perdí mi cabello, utilice los productos que hoy distribuyó y e sirvieron mucho... Desde allí los recomendé y empece a dar mi testimonio y a venderlos",1
descripcion_negocio,Inice vediendo gruta picada 2010,1
descripcion_negocio,Mi negocio lleva conmigo en esta dirección tres años..pero lo trabajo más de 20 años.fabricamos salas comedores etc,1
descripcion_negocio,"inicie mi negocio en el año 2021, donde  empece vendiendo ropa , hoy en dia sigo con el mismo emprendimiento y adicional a ello vendo visuteria , termos y gran variedad de productos .",1
descripcion_negocio,Detalles para toda ocasión,1
descripcion_negocio,Inicie en el 2014 mi satélite de calzado donde ofrecemos el servicio de guarnición armado de calzado para empresas y encargos sobre medidas,1
descripcion_negocio,"Inicie mi negocio en el año 2021 en el cuál se vende una variedad de comidas rápidas hamburguesas,perros calientes, mazorcadas",1
descripcion_negocio,"Inicie 2012
Papeleria
Fotocopias 
Impresión 
Recargas",1
descripcion_negocio,Inicio mi negocio en 2021 una papelería cual ha crecido contante y se puede fortalecer más,1
descripcion_negocio,"Mi negocio se destina a la distribución de cerveza y licores a los establecimientos de comercio y al público de la ciudad de Cartagena, suministro los productos a bares, gastrobares y particulares",1
descripcion_negocio,"Realizamos decoración de fiestas, desayunos sorpresa, meriendas, anchetas con dulces, anchetas con flores, anchetas con productos o elección del cliente, realizamos murales, manualidades para decoraciones o eventos temáticos y alquiler de mobiliario",1
descripcion_negocio,"Inicie mi negocio de manera virtual con catálogos de ropa, accesorios ymaquillaje, al detal y por mayor",1
descripcion_negocio,"Inicie mi negocio 2021, con servicio de papelería, Internet, fotocopias, impresiones y trabajos en computador.",1
descripcion_negocio,"Pastando es un espacio de alimentación consciente en el cual todos los dias se hace pasta hecha a mano aplicando técnicas artesanas italianas, su valor primordial es que es un producto fresco, hecho y entregado en la misma semana de elaboración",1
descripcion_negocio,"Tengo un un cultivo de guayaba araza, donde cuento con 500 árboles y distribuyo la pulpa  a diferentes negocios de la región de Antioquia. Actualmente tengo otro negocio de celulares y accesorios, donde los comercializo por encargo virtualmente",1
descripcion_negocio,Todo empezó porque mis vecinas querían comprar mis plantas entonces empecé a venderles los hijos de las plantas madres y todo se reforzó en pandemia y como me fue bien entonces decidí tener mi negocio para brindarle una vida digna a mis hijos,1
descripcion_negocio,Realizó mantenimiento de equipos de elevación de carga y estructuras metálicas,1
descripcion_negocio,"iniciamos en marzo del presente año, viendo la.operundiad de un mercado en constante crecimiento y con un número considerable de consumidores, personas que tienen y sienten la necesidad de innovar en tecnología y accesorios",1
descripcion_negocio,Inicie mi negocio ya hace cuatro años cuando me encontraba desempleado mi papá me proporcionó un terreno para que lo trabajara y decidí invertir en el negocio de la yuca industrial y hasta el día de hoy gracias a Dios es parte del sustento de mi fami,1
descripcion_negocio,Inicié mi negocio en febrero de 2023 vendiendo desechables y cosas de aseo.,1
descripcion_negocio,Mi proyecto empezó el año pasado con la plantación de 4000 árboles de café 100 matas de plátano y 200 de yuca tiene un tiempo de 10 meses ya el plátano en producción y próxima la yuca y al café en 6 meses la idea es sacar café especial,1
descripcion_negocio,Iniciar mi negocio en agosto en 2015 es una Peluqueria que presta todos los servicios ya está mi posicionados en el mercado con personal altamente capacitado,1
descripcion_negocio,Inicie en 2020 vendiendo articulos de relojeria a mis amigos y fui creciendo por recomemdación y redes sociales,1
descripcion_negocio,Inicie mi negocio vendiendo salchipapas picadas desde mi casa pero gracias a Dios tengo buenos clientes y quiero expandir mi negocio a un local grande,1
descripcion_negocio,"es un emprendimiento creado a pulso, donde prima la buena atención al publico y que salgan satidfechos con su respectivos corte o tratamiento",1
descripcion_negocio,"Inicié mi negocio en el mes de marzo él cuál es la realización de productos de personalización dónde están las camisetas, pocillos, llaveros, busos, agendas.",1
descripcion_negocio,"Nosotros somos desarrolladores de productos y prestamos todo el servicio completo para que este producto
Salga al mercado.",1
descripcion_negocio,Venta de bolsos y acesorios de mujer por paginas virtual y servicio domiciliario,1
descripcion_negocio,"Inicio en 2018 un negocio pequeño, ha ido creciendo poco a poco, y lo he ido mejorando",1
descripcion_negocio,Iniciamos con nuestra heladería comida y bebida en el 2018 y gracias a Dios y el fuerte trabajo hemos crecido de manera increíble.,1
descripcion_negocio,Inicie mi negocio vendiendo comidas rapidas y hoy en dia tengo un restaurante de comida tradicional.,1
descripcion_negocio,Inicié mi negocio en el 2022 con dos extanterias y gracias a Dios ya tengo cuatro estanterías,1
descripcion_negocio,Inicié en 2021 vendiendo elementos de protección personal,1
descripcion_negocio,Establecimiento comercial de venta de cerveza jugos y gaceosas,1
descripcion_negocio,Pcparts vendo partes de computadora y hago mantenimiento de equipos,1
descripcion_negocio,Inicié mi negocio prestando mis servicio como reparador de frenos en el año 2015 ofreciendo una exelente calidad y confianza,1
descripcion_negocio,"Inicié mi negocio en el año 2017, brindando servicios de topografía, levantamientos de predios, liquidaciones, planos y subdivisión",1
descripcion_negocio,Venta de electrodomésticos,1
descripcion_negocio,Mi negocio ha sido la carpintería en madera y metálica combinada. Produje Artesanías durante un buen tiempo y participé en expo Artesanías durante cuatro años y hoy mi emprendimiento es el diseño e impresión en 3D y continúo con la carpintería,1
descripcion_negocio,"Iniciamos el negocio con el deseo de emprender de comercializar productos finales y en compañía de mi esposa decidimos aperturar un establecimiento de comercio, en el proceso con unos socios les compramos una parte ahora decidimos arrancar solos",1
descripcion_negocio,Inicié en el 2015 hacer masajes a domicilio,1
descripcion_negocio,"Inicie mi negocio el año pasado, diseñamos y confeccionamos todo tipo de vestidos, prestamos servicio de taller satelite",1
descripcion_negocio,Alcohol antiséptico,1
descripcion_negocio,Venta de Pijamas y buzos para dama con ropa interior para dama y caballero,1
descripcion_negocio,"Inicie mi negocio por la necesidad de proteger o cuidar aquellos libros sagrados o importantes, innovando en varios diseños y materiales, cuero, sintético, vinilo, lonas",1
descripcion_negocio,Inicie en 2019 mi negocio de carpintería,1
descripcion_negocio,Inicie el negocio en 2007 fabricando y calazado de todo tipo,1
descripcion_negocio,"Inicie mi negocio vendiendo tornilleria capilar, ahora vendo repuestos para camiones y tractomulas",1
descripcion_negocio,"Comence mi negocio durante la pandemia y gracias a eso mi familia y yo pudimos salir adelante
Vendo pasteleres personalizados por encargo y tambien hago postres",1
descripcion_negocio,Es un restaurante para comidas ejecutivas. Por las noches cómodas especiales,1
descripcion_negocio,"Compro y vendí terneras, terneros y vacas para sacrificio o cría",1
descripcion_negocio,Inicie mi nogocio vendiendo recargas de celulares y equipos pero por falta de capital decidimos vender cervezas cigarrillos y mecatos,1
descripcion_negocio,Mi negocio es venta de cerveza y comida,1
descripcion_negocio,"ventas de repuestos, lubricantes y accesorios para motocicletas y bicicletas",1
descripcion_negocio,Inicié mi negocio en 2013 llevo 10 años en el sector inicie haciendo domicilios y ahora trabajo en un local y mi emprendimiento es poder crecer más e implementar más servicios,1
descripcion_negocio,Inicie mi negocio en el 2019 vendiendo ropa e indumentarias deportiva,1
descripcion_negocio,"Inicie mi negocio en mayo del 2014, con servicio de diseño gráfico, impresión de adhesivos, avisos señalización y de mas",1
descripcion_negocio,"Soporté técnico de toda clase de computadores, MacBook e impresoras Yopal - Casanare info. 3203576901 Cra 9#40-76 barrio el laguito🤓 ⚒️🖥️💻💽",1
descripcion_negocio,Inicie mi Negocio en el Año 2019 donde se Comercializa Celulares al Igual Que Servicio técnico Accesorios para todo tipo de Celulares y papelería.,1
descripcion_negocio,"Inicie mi negocio en el año 2009, en un local pequeño apoyada de 1 computador y 1 impresora láser color, ofreciendo los servicios de diseño gráfico free lance y impresión láser digital de piezas publicitarias y terminados.",1
descripcion_negocio,Restaurante de almuerzos a domicilio; a los clientes se les envía por medio de whats App el menú diario y ellos lis piden por este medio y se les envía directamente a su lugar de trabajo o a su casa.,1
descripcion_negocio,"Venta de licores ,dulces, chocolates",1
descripcion_negocio,Inicie mi negocio en el 2014 hacemos envíos a todo el país,1
descripcion_negocio,"Inicié mi negocio en enero del 2023 vendiendo productos de belleza por catálogo para dama y caballero, perfumería, cuidado de la piel y el cabello",1
descripcion_negocio,Inicié mi negocio vendiendo dulceria y gayetas,1
descripcion_negocio,Inicie mi negocio desde muy temprano y tengo varios productos como lo es el ajonjolí la yuca el maíz.,1
descripcion_negocio,"en medio de la pandemia como un pasa tiempo y se convirtió en un negocio,  el encierro género nuevas formas de invertir el tiempo y por medio del tallaje de madera se me permitió una forma de hacer lo que me gusta y emprender, realizo bandejas.",1
descripcion_negocio,Inicié mi emprendimiento en el año 2018 haciendo arreglos con una máquina familiar pero en el momento ya tengo una fileteadora industrial y una máquina plana y empecé a confeccionar prendas para mis clientes y queden a gusto con el servicio que les d,1
descripcion_negocio,Venta de sampo tratamientos.maquillaje y todo lo relacionado con el.cuidado del cabello,1
descripcion_negocio,"Mi emprendimiento @perfumeaxm 
Mi idea nace desde la necesidad de la persona la cual necesita sentirse empoderada, y nada mejor que una persona con un olor peculiar a gusto propio. Mi negocio es para toda ocasión 
Regalo,cena,cumpleaños,fiesta etc.",1
descripcion_negocio,Inicie el negocio antes del 2002 o legalice en el.año 2002 comprando ganado reses para sacrificarlos para consumo humano todavia lo tengo,1
descripcion_negocio,Inicié trabajando para otra persona....pero ya hace 3 años empeze a poner mi propio negocio y desde el año 2020 lo estoy apministrando,1
descripcion_negocio,Venta de jugos y pasteles ñas 24 horas,1
descripcion_negocio,"Inicie mi negocio en un local y por la demanda del producto me tocó cambiar de local para que los clientes se sientan más cómodos, es un producto natural 100% y la calidad la mejor",1
descripcion_negocio,Inicie mi negocio en el mes de abril de este año en mi apartamento trabajo desde casa haciendo los móviles para bebés,1
descripcion_negocio,"Inicie mi negocio luego de graduarme como.zootecnista tengo un local donde se vende carne de cerdo, huevos, productos agrícolas, miel y trucha",1
descripcion_negocio,Tortas y ponqués bajas en azúcar,1
descripcion_negocio,"Inicie mi negocio en febrero de 2021 haciendo chaquetas de niño y niña en variedad de colores ,las elaboró en mi casa",1
descripcion_negocio,"Mi negocio es venta y reparación de portátiles computadores e impresoras, celulares.. instalación de cámaras digitales y vigilancia... Venta de accesorios",1
descripcion_negocio,Inicié mi negocio con mi esposa haciendo servicio de frenos adomocilio,1
descripcion_negocio,Inicie mi negocio en febrero 2023 los cual es venta por catálogo,1
descripcion_negocio,"Llevo cerca de 13 años trabajando en el área de la tecnología, en especial con lo concerniente a software especializado y mantenimiento de equipos de computo",1
descripcion_negocio,"REALIZO VENDA DE BOLSOS POR CATALOGO VIRTUALMENTE, INICIE EN EL MES DE ENERO DEL AÑO PRESENTE DONDE SEMANALMEMTE VENDO 5 A 6 BOLSOS.",1
descripcion_negocio,"Iniciemos negocio en 2018 vendiendo prendas de vestir de manera virtual en compañía además mis hijos, le vendiamo a familiares y las personas más allegadas ,luego creamos la página y se extendió a más clientela vendemos accesorios, tenis ,ropa, gorra",1
descripcion_negocio,"inicié mi negocio en 2010 confeccionando trajes para hombre matrimonios novios y novias, haciendo toda clase de arreglos y todo lo relacionado con la confección.",1
descripcion_negocio,"Me dedico a la venta de ropa deportiva para hombres,mujeres, niños  y niñas al detal mi meta es llegar a ser un proveedor mayorista",1
descripcion_negocio,Inicié mi negocio vendiendo mochilas de una sola hebra y doble varias artículos empecé con 23 artesans ya hoy en día cuento conn43 artesans gra vías a ese pequeño negocio he podido vender mis productos en la tienda empatía en la ciudad  Bogotá,1
descripcion_negocio,Inicio mi negocio de reparación y actualización de computadores. Esto lo hago a domicilio. Igualmente tengo un plan de medicina prepagada para equipos de cómputo.,1
descripcion_negocio,"Compré este negocio en el 2022, y poco a poco ha venido creciendo y se ha acreditado con muy buenas clientes y salones de belleza",1
descripcion_negocio,Venta de queso y suero al por mayor y detal,1
descripcion_negocio,Inice en 2021 realizando. Antenas de aire para tdt principalmente donde no hay cobertura de tv en material de aluminio,1
descripcion_negocio,"Este negocio ha sido un apoyo para la educación  de mi hijo. Vendiendo  perfumería, joyas y skincare.  Me ha dado mucha alegría  cuando veo a mis clientes contentos  con los sets que armo para dar detalles. Es una bonita  oportunidad.",1
descripcion_negocio,"VENTA POR CATALOGO DE NATURA Y AVON, ESIKA LBEL CYZON, OBOTICARIO, YANBAL",1
descripcion_negocio,"EMPECE A TRABAJAR COMO INDEPENDIENTE HACIENDO DOMICILIOS CASA A CASA, HASTA Q LOGRE ORGANIZAR UN LOCAL PARA ATENDER A MIS CLIENTES, APRENDÍ MAS TÉCNICAS DE BELLEZA, PERO DESEO EXPANDIR EL NEGOCIO, COMPRANDO MAS IMPLEMENTOS.",1
descripcion_negocio,"Inicie mi negocio el año pasado con mucho esfuerzo y entereza, logrando quedarme aún en el mercado.",1
descripcion_negocio,"Inicié mi negocio en el 2018 vendiendo en la casa dedos y empanadas fritos, después empezé vendiendo las bandejas de empanadas con pollo, hawaiana, carne, jamón con queso, trifasica y bandeja de dedos de varias unidades.",1
descripcion_negocio,Fabrica de calzado para la práctica del futsal.,1
descripcion_negocio,"La tribu happy es un emprendimiento que diseña, fábrica y alquila elementos representativos para la presentación de espectáculos infantiles, dichos elementos son (titeres, botargas o mascotas, estatuillas y contenido audiovisual)",1
descripcion_negocio,"Hago construcción con tierra cruda, rescatando técnicas constructivas ancestrales como la Tapia Pisada, El bahareque y el BTC",1
descripcion_negocio,"Inicie mi negocio en el 2018 nos dedicamos a la fabricación de postres típicos colombianos como merengones rellenos de fruta, arroz con leche, obleas, fresas con chocolate y fresas con crema, trabajamos de jueves a domingo y festivos.",1
descripcion_negocio,minegocio esta funcionando desde 2018 venta dr conos al por mayor,1
descripcion_negocio,Somos un grupo de asesores publicitarios para toda clase de negocios,1
descripcion_negocio,Inicié con la venga de mis postres en enero del 2023. El cual requiero un plante para repartir en xole,1
descripcion_negocio,Inicie en el 2019 mi taller debido a que trabajaba en empresa pero el tiempo con mis hijos se via reducido y tomé la desicion de emprender sola,1
descripcion_negocio,"Inicie mi negocio en el año 2000 en un peaueño carro vendiendo comidas rápidas como salchipapas, hamburguesas, perros calientes, chuzos, chorizos y aún sigo con mi negocip",1
descripcion_negocio,"Inicie mi negocio en el mes de marzo del año 2020 con la panadería, me dedico a producir diversos productos agrícolas como maíz, arracachas , platano, colantro , es productivo y me gusta el trabajo que realizo.",1
descripcion_negocio,"Inicie mi negocio en el año 2021, vendiendo por catálogo, ropa,zapatos por encargo",1
descripcion_negocio,"Mi negocio inicia en el año 2018, buscando la alternativa de conseguir una estabilidad financiera",1
descripcion_negocio,"Inicie mi negocio vendiendo productos propios de la finca. Frutas, verduras y animales . Ahora ayudo a otros campesinos a vender su productos .",1
descripcion_negocio,Inicie trabajando en centros de estética luego pobremente a domicilio después monte mi cabina Estética donde poco a poco la fui equipando sigo ofreciendo domicilio pero de una manera más especializada y completa,1
descripcion_negocio,Soporte técnico en dispositivos móviles experto en equipos apple sistema de cómputo en portátil impresora,1
descripcion_negocio,"Inicie el negocio en el 2015  con venta de producto hechos por mi y complemete
Con venta de productos de catálogo",1
descripcion_negocio,Inicié mi negocio en Junio de 2018 y hasta el momento todo ha Sido bendiciones.,1
descripcion_negocio,Inicié mi negocio en el año antes pasado vendiendo mecatos y gaseosa hoy en día vendo de todo un poco y en mi propia casa,1
descripcion_negocio,Inicie en puesto vendiendo arepas rellenas de pollo hamburguesa tinto y algo mas,1
descripcion_negocio,Inicie en 2012 con cintillo y turbantes ropa de hombre y mujer zapatos le ingrese accesorios de tel celulares reloj de todo un poco vendo  tenia mi local en centro ahora estoy virtual en casa,1
descripcion_negocio,Mi negocio empezó en pandemia y cuidamos la piel por medio de productos de alta calidad brindando bienestar y cuidados,1
descripcion_negocio,"INICIE MI NEGOCIO EN 2022 ES DE HELADOS, FRUTAS Y JUGOS NATURALES, EN EL MOMENTO ESTAMOS TRABAJANDO EN LA IMPLIMENTACION DE NUEVOS PRODUCTOS",1
descripcion_negocio,"Comercial venta y reparación, mantenimiento en general",1
descripcion_negocio,"Inicie mi negocio en el 2019 débido a un arte escondido que tenía y descubrí en unas vacaciones, desde entonces empecé a subir fotos de los retratos y cuadros y a la gente me pregunta la si los vendía y decidí pintar para vender",1
descripcion_negocio,"Inicie mi negocio en el año 2003 vendiendo recargas a celular, simcard y minutos, luego hace 2 a!os pago servicios y vendo plataformas streaming",1
descripcion_negocio,Inicie mi negocio en el año 2001 tapicería e instalación de películas de seguridad para autos y arquitectonico..,1
descripcion_negocio,Tengo 3 hectáreas de maracuya tengo un promedio de 5 cortes de maracuya por año el cual cada corte me de 6.000.000 millones por corte en promedio,1
descripcion_negocio,"Inicie mi negocio en el 2018 desde casa haciendo trabajos para casas apts, mi Negocio es la instalación de carpintería en aluminio, osea la instalación de ventanas en aluminio, hoy en día mi calidad de trabajo me llevo a trabajar para constructoras.",1
descripcion_negocio,"Snack más fit es una tienda virtual que ofreces servicios tales como mesa de postre, arreglos florales desayuno sorpresas y detalles en general llevamos en funcionamiento 4 años donde ya tenemos una distinguida clientela",1
descripcion_negocio,Inicié mi negocio con mi familia  y ayuda de amigos vecinos y familiares y hoy ha crecido pero con ganas de crecer más.,1
descripcion_negocio,"Iniciamos Almarias postres, desde el 2016 vendiendo cheescake frío a mis compañeros de trabajo. En pandemia nos expandimos a redes sociales como instagram y vendemos por encargo hasta la fecha",1
descripcion_negocio,"Inicie mi negocio  en el año 2015, asesora do a clientes  para mejor su salud por medio de nutrición  de alta tecnología y actualmente hago valoraciones con clientes muy agradecidos por los resultados en salud, peso y energía",1
descripcion_negocio,"Este negocio tiene 7 años de antigüedad, lo adquirí en abril del 2022 bajo mi nombre. Tengo servicio de venta directa y también virtual",1
descripcion_negocio,Inicie mi negocio con diseño grafico confeccionamos tofo tipo de prendas deportivas y dotaciones enviamos a nivel nacional,1
descripcion_negocio,Empeze mi negocio vendiendo comida a domicilio pollo a la braza desde un pequeño anafe ahora tengo un asador de 12 pollos,1
descripcion_negocio,"Realización de asesorías contables, trámites virtuales y servicio de contabilidad a negocios",1
descripcion_negocio,Inicio com un cerdito pequeño hasta que lo vendí y fui ah comprar otro con la plata del cerdo compramos dos y le hicimos la casa alos cerdos y ya vamos para cuatro,1
descripcion_negocio,"Inicie en el mundo del arte en el 2017 pero me formalice en el 2021, creando marca personal ofreciendo el servicio de decoración de espacios comerciales en diferentes partes del país, principalmente en el Departamento del huila",1
descripcion_negocio,"Inicie mi negocio vendiendo abarrotes y fruver en el 2021 ,decidí hacerlo desde un punto físico ya funcionamos como minimarket",1
descripcion_negocio,Venta de bebidas embriagantes cigarros,1
descripcion_negocio,Inicie mi negocio fabricando puertas y ventanas cubiertas y haciendo mantenimiento y soldaduras,1
descripcion_negocio,Venta de cerveza tabaco y licores para llevar,1
descripcion_negocio,"Inicie desde el 2020 con mi negocio vendiendo artículos para teléfonos, computación y muchos insumos más",1
descripcion_negocio,"Inicié mi negocio dedicado a la venta al por mayor y al por menor de productos como gaseosas, licores y cervezas, como la.oportunidsd puesto que el negocio al quedar en medio de dos municipios podemos aprovechar oportunidades en la captación de gente",1
descripcion_negocio,Fabricación de juguetería en pelpa,1
descripcion_negocio,"Mi emprendiimiento vende anchetas, detalles y Desayunos Sorpresa para toda ocasión. Hemos participado en varias ferias y estamos ubicados desde casa. Esperamos llegare a tener local propio",1
descripcion_negocio,"Inicié enero 2000 tienda y papelería saco fotocopia y impresiones vedo gaseosa productos de margarita,alpina,helados creamhelado,zenu y abarrotes",1
descripcion_negocio,Alquilo andamios y vendo productos de ferreteria,1
descripcion_negocio,Inicie mi negocio en el 2021 criando y vendiendo carne de cerdo al por mayor y al detal,1
descripcion_negocio,Bolirrana y licores excelente ambiente,1
descripcion_negocio,"Inicie mi negocio en 2021, vendiendo tintos y empanadas. Ahora se venden jugos y paquetes, y he podido amoblar",1
descripcion_negocio,"Conexion.Com, es una sala de Internet que ofrece los servicios de impresiones, fotocopias,  scaners, trabajos de computo, mantenimiento preventivo y correctivo de computadores e instalación de software y actualizaciones, venta de papelería....",1
descripcion_negocio,Inicié mi negocio en el 2023 vendiendo licor me ha ido bien pero quíero aumentar la producción,1
descripcion_negocio,Mi negocio inicia en enero 22 del 2016 con un emprendimiento familiar vendemos comidas puerta a puerta,1
descripcion_negocio,Inicie mi negocio en el 2021 en la sala de mi casa organizando uñas de manos y pies,1
descripcion_negocio,"Compra de calzado triple AAA al mayor y al detal, en bodegas y venta al detal y aveces al mayor. Calzado de hombre, mujer y niñ@.",1
descripcion_negocio,Realizó terapias de relajación y spa,1
descripcion_negocio,Inicie el negocio de venta de equipos para gimnasia desde el año 2018,1
descripcion_negocio,Es un negocio pequeño venta de bebidas alcohólicas,1
descripcion_negocio,Inicie mi negocio en el 2022 con venta de cerveza y galgerias tenemos a disposición canchas de tejo y bolirana para compartir con familiares y compañeros.,1
descripcion_negocio,"Inicie mi negocio en el 2019 vendiendo comida rápida desde mi local vendiendo: Hamburguesas, alitas, picadas, churrascos, salchipapas y parrillas. Por las tardes vendemos almuerzos y sopas",1
descripcion_negocio,Inicié mi negocio deade 2018 vendiendo tafa clase de cervezas eni casa vendo al por mayor w individual lo mismo con las gaseosas. Tengo código con Bavaria y la Postobón.,1
descripcion_negocio,"Inicie vendiendo cerveza, luego cigarrillos y gaseosas ahora es una tienda",1
descripcion_negocio,Un producto innovador muy creativo y de mucha demanda excelente producto,1
descripcion_negocio,"Comencé con mi negocio en el 2015 vendiendo accesorios, pijamas, ropa y revistas actualmente fabrico los accesorios y tengo ventas al por mayor y estoy comenzando con un negocio paralelo de venta de insumos y clases de bisutería",1
descripcion_negocio,Inicié mi negocio en el 2020 vendo plantas para el hogar es un vivero,1
descripcion_negocio,Somos una alternativa de alimentación diferente basada en una dieta nutritiva y saludable. Sándwiches gourmet llenos de sabor y amor.,1
descripcion_negocio,Materiales para la construccion. Venta de arena. Bloque .  Piedra. Etc,1
descripcion_negocio,Inicie en el  negocio vendiendo productos farmacéuticos a diferentes empresas.,1
descripcion_negocio,Contratación con las entidades publicas,1
descripcion_negocio,Inicié el 2016 confeccionando le a tercero y llevo siete años en esta labor,1
descripcion_negocio,"Venta de alimentos, medicamentos y accesorios para mascotas, consulta médica, exámenes",1
descripcion_negocio,Inicie mi negocio en el 2016.vendiendo postres y congelados desde mi casa.,1
descripcion_negocio,hola tengo una empresa de fumigacion y desinfecciones para todo tipo de plagas,1
descripcion_negocio,Ivón ir mi negocio luego de ver la necesidad de la comunidad en tener un punto donde les quieran y no maltraten a sus mascotas,1
descripcion_negocio,Inicie mi negocio en 2022 desde mi casa reparando celulares.,1
descripcion_negocio,Inicie mi negocio en 2020 vendiendo productos de catalogo,1
descripcion_negocio,"Somos una empresa dedica a cuidar la salud y belleza a través de la creación de productos faciales, capilares y corporales, 100% naturales y artesanales.",1
descripcion_negocio,"Inicie mi negocio desde el 2016 y nos dedicamos a la fabricacion de estructuras metalicas, mantenimiento y pintura de estructuras metalicas.",1
descripcion_negocio,"Venta de ropa para cama, juegos de sábanas y cubrelechos",1
descripcion_negocio,"INICIAMOS UN CENTR DE MECANIZADO DONDE SE PRESTAN SERVICIOS DE TORNO, SOLDADURAS, TRATAMIENTOS TERMICOS, ADEMAS SE FABRICAN TEJOS, MINITEJOS, CHANCHAS Y ACCESORIOS.",1
descripcion_negocio,"Inicie mi negocio este año, vendiendo a domicilio blusas, medias, boxer y pijamas para dama, caballero y niños.",1
descripcion_negocio,Inicie mi negocio en 2008 en la galería minorista,1
descripcion_negocio,Di inicio a mi emprendimiento en el 2022 realizando arreglos de costura a mi familia y a la fecha ya me conoce el barrio y más gente y he podido surgir un poco más.,1
descripcion_negocio,"Ofrezco el servicio de manicure,pedicure,tintes,cepillados, y hace dos empeze a travabar con la creacion de mi propia keratina natural la cual ha gustado mucho a mis clientas",1
descripcion_negocio,"Inicie mi negocio ofreciendo mi servicio como electricista instalador, es un negocio alterno a la empresa",1
descripcion_negocio,Inicie mi negocio en junio del 2022 en mi casa maquillando y peinando,1
descripcion_negocio,Inicio de mi negocio vendiendo en las redes y creció con la pandemia,1
descripcion_negocio,Inicie mi negocio en 2021la idea es surtirlo más variedades,1
descripcion_negocio,"Inicie en el año 2021, vendiendo cuadernos lapiceros, borrador, sacapunta, lápiz etc.",1
descripcion_negocio,"a raíz de la pandemia inicié mi negocio de copias e impresiones Ya que en el lugar que vivo es un corregimiento y queda retirado Y estos servicios quedan muy inaccesibles, la necesidad fue bastante alta y por eso decidí montar este negocio",1
descripcion_negocio,"Mi negocio lo inicié desde año 2016, siendo muy conocido en el municipio de Puerto Triunfo por la alta gama de productos que se ofrece y por sus excelentes precios y calidad en los productos ofrecidos a todos nuestros clientes y turistas del país.",1
descripcion_negocio,Inicie mi negocio en febrero del 2020 vendiendo papelería cosas de belleza y para el hogar,1
descripcion_negocio,En tejiendo pensamientos elaboramos distintos tipos de accesorios tejidos a mano para todo tipo de población,1
descripcion_negocio,"majostore33 inicio en enero de 2020 siendo una tienda que vende accesorios para damas, niñas y niños. como lo son aretes, cadenas, camisetas, pulseras, diademas.",1
