campo,valor,n
descripcion_negocio,Venta de tubérculos y maíz,1
descripcion_negocio,Todo grano verdura lácteos huevos gaseosa medicina embutidos aseo,1
descripcion_negocio,Productos de aseo general y productos químicos,1
descripcion_negocio,Manicure pedicure maquillaje,1
descripcion_negocio,Lechona chorizo rellenas mute carne ala llanera,1
descripcion_negocio,"Cuidado facial 
Maquillaje",1
descripcion_negocio,"Diseño, fabricación y personalización de artículos para el hogar y la industria",1
descripcion_negocio,Calzado y ropa deportiva,1
descripcion_negocio,Huevos Criollos,1
descripcion_negocio,La confección de prendas para dama de todo tipo,1
descripcion_negocio,Venta de frutas verduras y abarrotes,1
descripcion_negocio,Confecciono ropa especialmente para mujer,1
descripcion_negocio,Comercialización de productos Naturistas.,1
descripcion_negocio,"Repuestos de moro
Moto",1
descripcion_negocio,Ofresco postres de destintos sabores tres leches y comidas rapidas carne azada con papa  salvajada con queso y pollo  y salchipapas  y perros caliente,1
descripcion_negocio,"Perros calientes,salchipapas,chorizos de carnes,chorizos de cerdo,arepas rellenas y jugos naturales.",1
descripcion_negocio,"Artesanias, mochilas, amacas, manillas, bolsos",1
descripcion_negocio,"Servicio de fotografía, familiar, embarazo, infantil, restauración de fotos antiguas,  impresión de fotos.",1
descripcion_negocio,Venta de fruta,1
descripcion_negocio,"Bebidas de licor 
No licor abarrotes 
Huevos 
Arroz 
Papas 
Leche
Dulcería",1
descripcion_negocio,"Mantenimiento. Reparación y actualización de equipos de cómputo. 

Instalación de sistemas de cctv

Cableado estructurado en redes

Asesoría en compra de equipos de sistemas

Configuración y enrutamiento de red

Configuración de servidores

Reparaciones especializadas en microelectrónica

Reparaciones de celulares. Tablets y televisores ( led y oled)",1
descripcion_negocio,Cabello,1
descripcion_negocio,Relojes inteligentes y audífonos,1
descripcion_negocio,Venta de pollos para consumo humano,1
descripcion_negocio,Mecato,1
descripcion_negocio,Vestidos y sandalias,1
descripcion_negocio,"Productos de higiene bucal, cuidado personal, cuidado del hogar, belleza.",1
descripcion_negocio,Perfumes grano lociones mecato,1
descripcion_negocio,"Miel de abejas, panal de abeja, velas de miel, miel de Angelita",1
descripcion_negocio,"Diseño y adecuación de interiores, mobiliario para oficinas, locales y demás.   
Decoración de interiores.",1
descripcion_negocio,Profesional del tatuaje y bodypiercing,1
descripcion_negocio,Venta de teléfonos de direferentes referencias y  accesorios,1
descripcion_negocio,"Planchado de cabello, uñas acrílicas semi permanente",1
descripcion_negocio,"Impresión de diseños, diseños gráficos",1
descripcion_negocio,"Corte cabello, cepillado, alisados, uñas acrílicas,tradicional,semipermanente, puesta de pestañas, keratinaserc",1
descripcion_negocio,"Chorizo 
Butifarra 
Desyuno 
Almuerzo 
Hamburguesas",1
descripcion_negocio,Barberia cortex cabello unisex todo lo relacionado con la belleza y ventas del mismo,1
descripcion_negocio,Productos echos en cueros,1
descripcion_negocio,"Corte, Tintura, Uñas",1
descripcion_negocio,"Mi negocio es un mini mercado, donde se ofrecen todos los productos de la canasta familiar, huevos, arroz, artículos de primera necesidad",1
descripcion_negocio,Comidas y también un poco de verduras y yuca y guineos,1
descripcion_negocio,Hilos e hilazas  insumos para confección,1
descripcion_negocio,"Grano 
Licor 
Papelería 
Helados 
PAC bancolombia",1
descripcion_negocio,Diseño y confección de indumentaria deportiva,1
descripcion_negocio,Cajas,1
descripcion_negocio,Mano de obra en todo lo relacionado en la construcción,1
descripcion_negocio,"Pasteles artesanales
Desayunos sorpresa
Refrigerios",1
descripcion_negocio,Productos.  Como gorras AAA  .relojes. camisas . Pantalones . Conjuntos deportivos,1
descripcion_negocio,"GPS para vehículos, radios de comunicación, taximetros, dispositivos de velocidad, mantenimientos",1
descripcion_negocio,"Bolsos, morrales, estuches para instrumentos, monederos, cosmetiqueras, al mayor y detal.",1
descripcion_negocio,Distribución de soportes de TV al por mayor,1
descripcion_negocio,"Arepas, empanadas",1
descripcion_negocio,"Ropa, maquillaje, papelería y lociones",1
descripcion_negocio,Servicio de peluquería y barbería,1
descripcion_negocio,"Son unas canchas de tejo, local de venta de cerveza,  y Bar y Licores con servicio de bolirana",1
descripcion_negocio,Venta de gallina sudada asada caldo de gallina con arroz papá y yuca,1
descripcion_negocio,ESTAMPADOS,1
descripcion_negocio,Fabricación y restauración de muebles,1
descripcion_negocio,Enseres,1
descripcion_negocio,"Uñas acliricas
Uñas press on
Uñas semipermanentes
Arreglo de cabellos
Limpiezas facial
Masajes
Enserados",1
descripcion_negocio,Artículos tecnológicos,1
descripcion_negocio,Desayuno y almuerzo y bandeja,1
descripcion_negocio,Por medio de un analizador cuántico se le ofrece un medicamento dependiendo del resultado que arroje el escáner,1
descripcion_negocio,Útiles escolares  cosas de aseo  fotocopia  impresiones,1
descripcion_negocio,"Corte de cabello hombres, corte de cabello mujeres decoloraciones, diseños de cejas, asesoramiento, entre otras cosas más relacionadas con la belleza",1
descripcion_negocio,Bisutería al por mayor,1
descripcion_negocio,Venta de ropa para toda la.familia,1
descripcion_negocio,Maquina,1
descripcion_negocio,"Decoración 
Montaje y desmontaje de eventos 
Suministro de comida y menaje 
Organización de todo el evento",1
descripcion_negocio,Todo lo relacionado con panadería y trtas y postres,1
descripcion_negocio,Alimentos para mascotas,1
descripcion_negocio,Edredones y tapetes,1
descripcion_negocio,Elaboración ropa de niños y confección a terceros,1
descripcion_negocio,"Montura y lentes ópticos 
Distribuidor de monturas  al detal",1
descripcion_negocio,Accesorios para celular y computador,1
descripcion_negocio,Mi negocio los servicios que tenemos en mi negocio son específicamente los siguientes nosotros compramos a domicilio lo que es reciclaje electrónico reciclaje normal archivos y papeles plásticos esa es como la función principal de nuestro negocio,1
descripcion_negocio,Patacones,1
descripcion_negocio,detalles sorpresa,1
descripcion_negocio,Juegos naturales raspados y empanadas avena salpicón,1
descripcion_negocio,Venta de pollo de engorde.,1
descripcion_negocio,Muebleria para el hogar,1
descripcion_negocio,"Almuerzos corrientes y especiales, comidas rápidas.",1
descripcion_negocio,"Zapatos, medias , ropa",1
descripcion_negocio,Línea de calzado de dama en general y niña,1
descripcion_negocio,Bolsos en manualidades en trapillo y endredones sábanas y tuallones,1
descripcion_negocio,Mantenimiento y limpieza de edificios,1
descripcion_negocio,"Servicios

Entrenamiento personalizado.
Creación de somatocarta.
Adaptación fisiológica a los diversos estímulos.
Acompañamiento en competencia.
Sugerencias de alimentación y suplementación.
Creación de videos",1
descripcion_negocio,"A parte de las ventas.  Corresponsal bancario bancolombia,  recargas a celular,  apuestas permanentes",1
descripcion_negocio,Ferretero,1
descripcion_negocio,Cerveza gaseosa y Bar y Licores,1
descripcion_negocio,"Servicios de reparación, mantenimiento,venta de celulares y accesorios.",1
descripcion_negocio,"Confección, decoración y repostería",1
descripcion_negocio,Ropa de mujer y arreglos de la misma,1
descripcion_negocio,Fabricación de aviso y reparaciones eléctricas,1
descripcion_negocio,Todo lo relacionado con papelería e impresiones,1
descripcion_negocio,Empandas,1
descripcion_negocio,Venta de ropa para dama y caballero. Venta de perfumería,1
