comparacion,n_ambos,n_iguales,n_solapan,proporcion_solapan
descripcion_negocio vs otra_categoria_negocio,1216,708,728,0.5986842105263158
descripcion_negocio vs subcategoria_texto,3480,7,62,0.017816091954022988
