mes,n_creditos,n_mora,tasa_mora
2022-07,61,34,0.5573770491803278
2022-08,122,86,0.7049180327868853
2022-09,253,196,0.7747035573122529
2022-10,260,217,0.8346153846153846
2022-11,356,298,0.8370786516853933
2022-12,357,275,0.7703081232492998
2023-01,403,308,0.7642679900744417
2023-02,236,158,0.6694915254237288
2023-03,528,315,0.5965909090909091
2023-04,468,234,0.5
2023-05,242,161,0.6652892561983471
2023-06,98,96,0.9795918367346939
2023-07,44,43,0.9772727272727273
2023-08,87,86,0.9885057471264368
2023-09,199,149,0.7487437185929648
2023-10,286,124,0.43356643356643354
2023-11,186,30,0.16129032258064516
2023-12,15,0,0.0
