segmento,n_creditos,tasa_mora,cobertura_descripcion,n_con_descripcion,mediana_caracteres
denso,552,0.48731884057971014,0.9438405797101449,521,37.0
esparso,2808,0.7428774928774928,0.7578347578347578,2128,39.0
