segmento,n_creditos,cobertura_descripcion,cobertura_otra,mediana_palabras_si_hay,n_temas_dominantes,mediana_concentracion_tema
denso,552,0.9438405797101449,0.43478260869565216,6.0,7,0.6181285238545846
esparso,2808,0.7578347578347578,0.3543447293447293,6.0,7,0.6164212613728496
