set,canal,n_creditos,n_mora,tasa_mora
train,03,784,359,0.45790816326530615
train,12,669,515,0.7698056801195815
train,09,1237,960,0.7760711398544866
train,05,639,498,0.7793427230046949
val,07,315,245,0.7777777777777778
val,12,105,87,0.8285714285714286
test,07,415,119,0.28674698795180725
test,12,6,4,0.6666666666666666
