palabra,n
venta,273
ropa,233
productos,179
todo,171
vendo,143
accesorios,124
servicio,99
comidas,98
calzado,89
gaseosas,81
relacionado,80
etc,77
bebidas,74
dama,74
jugos,71
bar,70
uñas,67
licores,65
comida,61
almuerzos,60
desayunos,59
belleza,57
empanadas,57
celulares,55
muebles,54
