credito_id_anon,cliente_id_anon,fecha_desembolso,numero_cuota,dias_retraso,fecha_t_pago,fecha_pago,valor_pagado,estatus_credito,ciudad,sexo,tipo_de_negocio,origen,max_dias_retraso,target
7299ae9af0c8,6972cf433687,2021-12-06,3,0.0,2022-03-07,,0.0,PAGO,LOC_272,0,SEC_01,CANAL_17,58.0,
a7b40c59540b,758902fe7f30,2021-12-08,1,32.0,2021-12-16,2022-01-17,150000.0,PAGO,LOC_218,1,SEC_16,CANAL_17,32.0,
a7b40c59540b,758902fe7f30,2021-12-08,2,6.0,2022-01-15,2022-01-21,150000.0,PAGO,LOC_218,1,SEC_16,CANAL_17,32.0,
a7b40c59540b,758902fe7f30,2021-12-08,3,8.0,2022-02-14,2022-02-22,128000.0,PAGO,LOC_218,1,SEC_16,CANAL_17,32.0,
a7b40c59540b,758902fe7f30,2021-12-08,4,0.0,2022-03-16,2022-03-14,130000.0,PAGO,LOC_218,1,SEC_16,CANAL_17,32.0,
a7b40c59540b,758902fe7f30,2021-12-08,5,5.0,2022-04-15,2022-04-20,128000.0,PAGO,LOC_218,1,SEC_16,CANAL_17,32.0,
a7b40c59540b,758902fe7f30,2021-12-08,6,16.0,2022-05-15,2022-05-31,133000.0,PAGO,LOC_218,1,SEC_16,CANAL_17,32.0,
e29d7c2184c4,431de4e23148,2021-12-15,1,0.0,2022-01-15,2022-01-15,104000.0,PAGO,LOC_301,0,SEC_28,CANAL_17,1.0,1.0
e29d7c2184c4,431de4e23148,2021-12-15,2,1.0,2022-02-14,2022-02-15,104000.0,PAGO,LOC_301,0,SEC_28,CANAL_17,1.0,1.0
e29d7c2184c4,431de4e23148,2021-12-15,3,0.0,2022-03-16,2022-03-01,104000.0,PAGO,LOC_301,0,SEC_28,CANAL_17,1.0,1.0
f8e49f684617,57c63e2f4fa0,2021-12-13,1,0.0,2022-01-13,2022-01-13,105000.0,PAGO,LOC_205,0,SEC_41,CANAL_17,0.0,1.0
f8e49f684617,57c63e2f4fa0,2021-12-13,2,0.0,2022-02-12,2022-02-12,104200.0,PAGO,LOC_205,0,SEC_41,CANAL_17,0.0,1.0
f8e49f684617,57c63e2f4fa0,2021-12-13,3,0.0,2022-03-14,2022-03-08,104200.0,PAGO,LOC_205,0,SEC_41,CANAL_17,0.0,1.0
32129cb2f95c,57e00cb5ca7a,2021-12-14,1,30.0,2022-01-13,2022-01-13,127603.0,PAGO,LOC_364,0,SEC_28,CANAL_17,80.0,0.0
32129cb2f95c,57e00cb5ca7a,2021-12-14,2,31.0,2022-02-12,2022-03-15,106400.0,PAGO,LOC_364,0,SEC_28,CANAL_17,80.0,0.0
32129cb2f95c,57e00cb5ca7a,2021-12-14,3,80.0,2022-03-14,2022-06-02,213000.0,PAGO,LOC_364,0,SEC_28,CANAL_17,80.0,0.0
32129cb2f95c,57e00cb5ca7a,2021-12-14,4,54.0,2022-04-13,2022-06-06,106500.0,PAGO,LOC_364,0,SEC_28,CANAL_17,80.0,0.0
32129cb2f95c,57e00cb5ca7a,2021-12-14,5,26.0,2022-05-13,2022-06-08,389000.0,PAGO,LOC_364,0,SEC_28,CANAL_17,80.0,0.0
32129cb2f95c,57e00cb5ca7a,2021-12-14,6,0.0,2022-06-12,,,PAGO,LOC_364,0,SEC_28,CANAL_17,80.0,0.0
1c6a98c8230e,aff6d3f86e42,2021-12-21,1,3.0,2022-01-21,2022-01-24,161200.0,PAGO,LOC_218,1,SEC_06,CANAL_17,7.0,1.0
1c6a98c8230e,aff6d3f86e42,2021-12-21,2,1.0,2022-02-20,2022-02-21,161200.0,PAGO,LOC_218,1,SEC_06,CANAL_17,7.0,1.0
