number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
12,0.7579008746355685,2026-08-24 20:54:45.251064,2026-08-24 20:54:45.621303,0 days 00:00:00.370239,0.5109089606097476,0.1302280528485088,8,12,0.31828312631349026,0.002185769100162308,0.9689478251869063,COMPLETE
13,0.7494970845481049,2026-08-24 20:54:45.621360,2026-08-24 20:54:45.708932,0 days 00:00:00.087572,0.6888292996838146,0.1320639950556449,6,11,0.2099569708816774,0.3629852778670363,0.960544136650653,COMPLETE
14,0.7393586005830904,2026-08-24 20:54:45.709000,2026-08-24 20:54:45.868156,0 days 00:00:00.159156,0.8678954872002884,0.04354739383874702,7,5,0.011984096456372396,0.007453740021648722,0.5634924220005434,COMPLETE
15,0.750131195335277,2026-08-24 20:54:45.868221,2026-08-24 20:54:46.084079,0 days 00:00:00.215858,0.5926298696920422,0.12216355925806084,7,12,0.37017194142773086,0.00015177087592234314,0.7074385279224897,COMPLETE
16,0.7512973760932945,2026-08-24 20:54:46.084145,2026-08-24 20:54:46.326418,0 days 00:00:00.242273,0.5125413310426077,0.03897803960375353,6,15,0.00010397182740860142,0.011444165719773282,0.5710921036558219,COMPLETE
17,0.7580320699708455,2026-08-24 20:54:46.326484,2026-08-24 20:54:46.715938,0 days 00:00:00.389454,0.6531221286499026,0.11978626972309993,8,10,0.01781294732928646,0.0005354846836147949,0.9290446488998967,COMPLETE
18,0.7508746355685132,2026-08-24 20:54:46.716003,2026-08-24 20:54:46.872794,0 days 00:00:00.156791,0.652446661063429,0.15145270343269096,8,14,0.06281732889582836,0.0004874206153890443,0.9318053345561489,COMPLETE
19,0.7573615160349855,2026-08-24 20:54:46.872864,2026-08-24 20:54:47.097885,0 days 00:00:00.225021,0.6240956419513559,0.1713576149281431,8,6,0.0151530190027151,0.0006611160182967714,0.903636560260076,COMPLETE
20,0.752667638483965,2026-08-24 20:54:47.097944,2026-08-24 20:54:47.345143,0 days 00:00:00.247199,0.5400049628174017,0.09806146822400062,5,10,3.2605115544335193,0.0021803195227655166,0.9991349065669801,COMPLETE
21,0.7647813411078718,2026-08-24 20:54:47.345203,2026-08-24 20:54:47.620142,0 days 00:00:00.274939,0.6141831052110287,0.19002817728709245,8,6,0.013968169831582692,0.000565768328776363,0.905109924132299,COMPLETE
22,0.7474927113702624,2026-08-24 20:54:47.620201,2026-08-24 20:54:47.842985,0 days 00:00:00.222784,0.7149516835019795,0.19297584945442403,8,3,0.23082773786697378,0.0003115012061067322,0.814726113344182,COMPLETE
23,0.7471282798833819,2026-08-24 20:54:47.843047,2026-08-24 20:54:47.930940,0 days 00:00:00.087893,0.6044000049913592,0.10121012361588448,7,11,0.003956155119016376,0.00011431541785080443,0.9340933208051525,COMPLETE
24,0.7596209912536442,2026-08-24 20:54:47.931000,2026-08-24 20:54:48.375762,0 days 00:00:00.444762,0.5489867275811653,0.0919314853302482,8,7,0.02212233808715624,0.003418087963577316,0.9439933848716875,COMPLETE
25,0.7543877551020408,2026-08-24 20:54:48.375823,2026-08-24 20:54:48.511239,0 days 00:00:00.135416,0.6523796701790242,0.09581200245531701,6,6,0.017788016828777033,0.0008015132198148469,0.8359286278799217,COMPLETE
26,0.7608600583090379,2026-08-24 20:54:48.511300,2026-08-24 20:54:48.767456,0 days 00:00:00.256156,0.5473338952718988,0.05251569611852853,7,8,0.007636971410894283,0.005829638955101996,0.914167439888165,COMPLETE
27,0.760058309037901,2026-08-24 20:54:48.767518,2026-08-24 20:54:49.088947,0 days 00:00:00.321429,0.5666393758052286,0.052868529212974864,7,1,0.0020473227821171574,0.01309285452265256,0.8937714647226439,COMPLETE
28,0.7666909620991254,2026-08-24 20:54:49.089009,2026-08-24 20:54:49.415606,0 days 00:00:00.326597,0.5510425024755335,0.05003335574498735,5,1,0.0068902772056440836,0.01704234601226918,0.753273328148085,COMPLETE
29,0.751268221574344,2026-08-24 20:54:49.415667,2026-08-24 20:54:49.672392,0 days 00:00:00.256725,0.6262510486791795,0.03861526689711333,5,4,0.0059848994577032235,0.016355509078897403,0.7531544702794251,COMPLETE
30,0.7438483965014577,2026-08-24 20:54:49.672455,2026-08-24 20:54:49.858867,0 days 00:00:00.186412,0.7640611800723452,0.05504521004428527,4,1,0.0009475621076576635,0.18897400219563393,0.7254426108920369,COMPLETE
31,0.7578134110787171,2026-08-24 20:54:49.858937,2026-08-24 20:54:50.031563,0 days 00:00:00.172626,0.5621979631283099,0.04970214666737383,5,1,0.0017798440371459574,0.015111535627975108,0.8812829080304145,COMPLETE
32,0.7558309037900874,2026-08-24 20:54:50.031624,2026-08-24 20:54:50.222515,0 days 00:00:00.190891,0.533359537902492,0.06190736747871961,6,3,0.006383462522076668,0.004289382544287833,0.8558512823757618,COMPLETE
33,0.7582798833819242,2026-08-24 20:54:50.222577,2026-08-24 20:54:50.496709,0 days 00:00:00.274132,0.5009049785519785,0.03400043138030734,7,4,0.005961081310600636,0.08516741890027377,0.797670387703147,COMPLETE
34,0.7484256559766763,2026-08-24 20:54:50.496769,2026-08-24 20:54:50.705504,0 days 00:00:00.208735,0.6109881842422002,0.07980140687004718,5,2,0.001726830020965367,0.022157914021963224,0.9028866696483816,COMPLETE
35,0.7646209912536444,2026-08-24 20:54:50.705567,2026-08-24 20:54:50.906307,0 days 00:00:00.200740,0.5696224236522215,0.05025543543834014,6,5,0.04127058589178096,0.007730349126993934,0.8339925541362461,COMPLETE
36,0.760393586005831,2026-08-24 20:54:50.906368,2026-08-24 20:54:51.256613,0 days 00:00:00.350245,0.5336042036453681,0.03134532625064441,6,8,0.03860488291795307,0.0071985304919475615,0.831024505309566,COMPLETE
37,0.7584693877551021,2026-08-24 20:54:51.256673,2026-08-24 20:54:51.513715,0 days 00:00:00.257042,0.5780719220524798,0.04614568362849158,4,5,0.07867515620561442,0.05449277296559169,0.77413741468649,COMPLETE
38,0.7499854227405247,2026-08-24 20:54:51.513776,2026-08-24 20:54:51.704773,0 days 00:00:00.190997,0.7004328722584814,0.021326361802296228,6,8,0.03466493100323342,0.0011539001767612376,0.8664642560127676,COMPLETE
39,0.7403790087463558,2026-08-24 20:54:51.704834,2026-08-24 20:54:51.831224,0 days 00:00:00.126390,0.6299864461097264,0.010566289050279001,3,6,0.10040843050029044,0.21188518203725015,0.6465923608200838,COMPLETE
40,0.7588338192419826,2026-08-24 20:54:51.831284,2026-08-24 20:54:52.217172,0 days 00:00:00.385888,0.7922287095621835,0.05944283231724078,7,3,0.0007167270792538404,0.00025464344005010766,0.6848529328250124,COMPLETE
41,0.7416326530612245,2026-08-24 20:54:52.217233,2026-08-24 20:54:52.309871,0 days 00:00:00.092638,0.5268410837664294,0.032633814768061896,6,8,0.03784311615302749,0.007611750402084285,0.8314743500024385,COMPLETE
42,0.7588338192419826,2026-08-24 20:54:52.309933,2026-08-24 20:54:52.541631,0 days 00:00:00.231698,0.5460037778670265,0.01667171797884941,6,9,0.007474403969138444,0.008301072942836666,0.7909451022606109,COMPLETE
43,0.7536880466472304,2026-08-24 20:54:52.541692,2026-08-24 20:54:52.738736,0 days 00:00:00.197044,0.589398712974537,0.02486865857491328,5,7,0.003700993770163927,0.0013205084602955907,0.824153249916053,COMPLETE
44,0.758002915451895,2026-08-24 20:54:52.738801,2026-08-24 20:54:53.142652,0 days 00:00:00.403851,0.5671901410901685,0.031044436860460344,7,20,0.05172647669302283,0.031370763026716215,0.8544681819748869,COMPLETE
45,0.7594169096209913,2026-08-24 20:54:53.142712,2026-08-24 20:54:53.385056,0 days 00:00:00.242344,0.5303041394936022,0.014349343728018745,6,5,0.023487601839679326,0.003823561344443587,0.7510192492964348,COMPLETE
46,0.7505102040816326,2026-08-24 20:54:53.385118,2026-08-24 20:54:53.687331,0 days 00:00:00.302213,0.6804670288706806,0.07429831690116942,5,9,0.008122264050627166,0.03784438092969963,0.722370069691597,COMPLETE
47,0.7571574344023324,2026-08-24 20:54:53.687405,2026-08-24 20:54:53.786734,0 days 00:00:00.099329,0.5989385918236495,0.293470448463706,7,7,0.11970039472114738,0.007649606710779464,0.9168145321447896,COMPLETE
48,0.7624198250728863,2026-08-24 20:54:53.786800,2026-08-24 20:54:54.016734,0 days 00:00:00.229934,0.5141039596883591,0.04064769074897155,6,8,0.1538929448679944,0.6789353969133088,0.7852617995539742,COMPLETE
49,0.7510641399416911,2026-08-24 20:54:54.016796,2026-08-24 20:54:54.190721,0 days 00:00:00.173925,0.5007250058963767,0.04055990110519038,4,5,0.8996250149401811,1.7387492444524728,0.7816221331820395,COMPLETE
50,0.7603352769679299,2026-08-24 20:54:54.190785,2026-08-24 20:54:54.476288,0 days 00:00:00.285503,0.5577885291791164,0.04770053873744944,7,2,0.00038229969212019135,1.768979616880392,0.964457233040088,COMPLETE
51,0.7624344023323615,2026-08-24 20:54:54.476352,2026-08-24 20:54:54.715470,0 days 00:00:00.239118,0.5188498188567277,0.028467413964935392,6,9,0.12891833510039777,0.4605349377436114,0.8089759935875197,COMPLETE
52,0.7605102040816326,2026-08-24 20:54:54.715532,2026-08-24 20:54:54.947742,0 days 00:00:00.232210,0.5154665260621023,0.025470847591050123,6,10,0.5252103382994051,0.4918088870118397,0.8713153086512966,COMPLETE
53,0.7520553935860058,2026-08-24 20:54:54.947804,2026-08-24 20:54:55.133967,0 days 00:00:00.186163,0.5811346006260988,0.0356012705237209,5,8,0.1452018721119844,4.038699432349145,0.8123064836473866,COMPLETE
