codigo,shap_medio_absoluto,shap_medio,unidad_salida,n_prueba
g051s,0.6379284262657166,-0.4990606904029846,logaritmo_de_chances,421
wd81,0.6269548535346985,-0.45316898822784424,logaritmo_de_chances,421
duemag01,0.4001087248325348,-0.3831302225589752,logaritmo_de_chances,421
wd03,0.37098318338394165,-0.22239893674850464,logaritmo_de_chances,421
utlmag04,0.17197369039058685,-0.07962144911289215,logaritmo_de_chances,421
agg308,0.1650373637676239,-0.06574685126543045,logaritmo_de_chances,421
appusers_age,0.13173089921474457,0.013851203955709934,logaritmo_de_chances,421
at34af,0.11953169107437134,-0.05594353377819061,logaritmo_de_chances,421
shops_rent_amount,0.11230946332216263,0.0012212387518957257,logaritmo_de_chances,421
shops_initial_capital,0.09769297391176224,0.03475310653448105,logaritmo_de_chances,421
at103s,0.09213621914386749,-0.03754932060837746,logaritmo_de_chances,421
sa21s,0.09100133180618286,-0.0049905190244317055,logaritmo_de_chances,421
tranbal09,0.09046324342489243,-0.047619789838790894,logaritmo_de_chances,421
agg9316,0.08655767142772675,-0.019841888919472694,logaritmo_de_chances,421
tel03s,0.08483622223138809,-0.037400487810373306,logaritmo_de_chances,421
credits_dependants_amount,0.07043623924255371,-0.06837818026542664,logaritmo_de_chances,421
at104s,0.06738179177045822,0.007503441534936428,logaritmo_de_chances,421
tel32s,0.06701268255710602,-0.014154508709907532,logaritmo_de_chances,421
credits_family_expenses,0.05973568558692932,0.027247317135334015,logaritmo_de_chances,421
shops_shop_age,0.04187657684087753,0.004266790114343166,logaritmo_de_chances,421
shops_monthly_incomes,0.04054109752178192,-0.002929454203695059,logaritmo_de_chances,421
shops_daily_incomes,0.03841952234506607,-0.017975784838199615,logaritmo_de_chances,421
shops_monthly_outcomes,0.03817391023039818,-0.01748470962047577,logaritmo_de_chances,421
bi21s,0.03712451457977295,0.007823503576219082,logaritmo_de_chances,421
ri27s,0.026800312101840973,-0.005891597829759121,logaritmo_de_chances,421
lmd34s,0.0,0.0,logaritmo_de_chances,421
rle904,0.0,0.0,logaritmo_de_chances,421
aepmag01,0.0,0.0,logaritmo_de_chances,421
agg2503,0.0,0.0,logaritmo_de_chances,421
