modelo_presentado,informacion_presentada,modalidad_presentada,n,n_total,n_valid,n_invalid,AUC,AUC_ci_low,AUC_ci_high,Gini,KS,Brier,PR_AUC,ECE,model,feature_profile,mode
Regresión logística,TransUnion más 9 variables directas del formulario,Entrenado,421,421,421,0,0.7572979756643203,0.70679052763682,0.8041966770338845,0.5145959513286407,0.4343318600971245,0.1977595716828837,0.4956208694323072,0.1478548664380898,logreg_tu_form,tu_form,trained
XGBoost,TransUnion más 9 variables directas del formulario,Entrenado,421,421,421,0,0.7607082446663394,0.7101230425055929,0.8081873738200468,0.5214164893326787,0.4131609101325912,0.1789734341492744,0.5173027555998745,0.0551710295271915,xgb_tu_form,tu_form,trained
Qwen3-8B,TransUnion más 9 variables directas del formulario,Sin ejemplos,404,421,404,17,0.6544091235632185,0.6005298132183908,0.7064183728448276,0.3088182471264369,0.2889128352490422,0.2404826732673267,0.3799592283730794,0.144059405940594,qwen3:8b,tu_form,zero
Qwen3-8B,TransUnion más 9 variables directas y descripción del negocio,Sin ejemplos,409,421,409,12,0.6320448806244261,0.5779208993342516,0.6836905991735537,0.2640897612488522,0.2292240587695133,0.2440166259168704,0.3662011344001756,0.1542787286063569,qwen3:8b,tu_form_description,zero
Qwen3-8B,TransUnion más 9 variables directas del formulario,Ocho ejemplos,407,421,407,14,0.6196165966386554,0.5643947683239963,0.672751444327731,0.2392331932773108,0.2654645191409897,0.3526474201474202,0.3508660855562662,0.3377149877149877,qwen3:8b,tu_form,few
Qwen3-8B,TransUnion más 9 variables directas y descripción del negocio,Ocho ejemplos,414,421,414,7,0.5597490455872446,0.5056913878284303,0.6120470048282058,0.1194980911744891,0.142375926341792,0.3513647342995168,0.316463912305187,0.3417874396135265,qwen3:8b,tu_form_description,few
