comparison,segment,n,n_total,n_paired_valid,n_excluded_invalid,auc_without_description,auc_with_description,delta_auc,ci_low,ci_high,bootstrap_samples
qwen3:8b_zero,total,393,421,393,28,0.6597025718417908,0.6390146513236497,-0.020687920518141167,-0.06269414575866185,0.01780049361755639,2000
qwen3:8b_zero,esparso,145,153,145,8,0.6770963704630788,0.6619732999582811,-0.015123070504797664,-0.08083281184814356,0.04829213600333753,2000
qwen3:8b_zero,denso,248,268,248,20,0.6434577434577434,0.6132990132990133,-0.030158730158730163,-0.08327005577005575,0.01896289146289142,2000
qwen3:8b_few,total,400,421,400,21,0.6167958889289578,0.5522749128501021,-0.06452097607885565,-0.12223562026685911,-0.005127569419401401,2000
qwen3:8b_few,esparso,148,153,148,5,0.6221449851042701,0.572591857000993,-0.049553128103277055,-0.14806355511420044,0.04687934458788469,2000
qwen3:8b_few,denso,252,268,252,16,0.6148087206910736,0.5344302756067462,-0.08037844508432745,-0.1599763471822296,-0.005881324557795239,2000
